,x,y,phi,dx
0,-49.596774193548384,-49.596774193548384,5.25071126668378e-56,0.8064516129032258
1,-48.79032258064516,-49.596774193548384,3.0224189092474335e-55,0.8064516129032258
2,-47.983870967741936,-49.596774193548384,1.940635605705378e-54,0.8064516129032258
3,-47.17741935483871,-49.596774193548384,1.2213587209341387e-53,0.8064516129032258
4,-46.37096774193549,-49.596774193548384,7.5081003307056925e-53,0.8064516129032258
5,-45.564516129032256,-49.596774193548384,4.505937918892851e-52,0.8064516129032258
6,-44.75806451612903,-49.596774193548384,2.6389165943139813e-51,0.8064516129032258
7,-43.95161290322581,-49.596774193548384,1.5075736057316036e-50,0.8064516129032258
8,-43.14516129032258,-49.596774193548384,8.39811643389014e-50,0.8064516129032258
9,-42.33870967741935,-49.596774193548384,4.5602223744024674e-49,0.8064516129032258
10,-41.53225806451613,-49.596774193548384,2.412980079722779e-48,0.8064516129032258
11,-40.725806451612904,-49.596774193548384,1.2438264043065278e-47,0.8064516129032258
12,-39.91935483870968,-49.596774193548384,6.244371131668427e-47,0.8064516129032258
13,-39.112903225806456,-49.596774193548384,3.05232791086951e-46,0.8064516129032258
14,-38.306451612903224,-49.596774193548384,1.4523732774323834e-45,0.8064516129032258
15,-37.5,-49.596774193548384,6.72533336004966e-45,0.8064516129032258
16,-36.693548387096776,-49.596774193548384,3.0297429983226024e-44,0.8064516129032258
17,-35.887096774193544,-49.596774193548384,1.327384069410868e-43,0.8064516129032258
18,-35.08064516129032,-49.596774193548384,5.653202306923001e-43,0.8064516129032258
19,-34.274193548387096,-49.596774193548384,2.339200674442769e-42,0.8064516129032258
20,-33.46774193548387,-49.596774193548384,9.398121326010568e-42,0.8064516129032258
21,-32.66129032258065,-49.596774193548384,3.6635522849043785e-41,0.8064516129032258
22,-31.854838709677427,-49.596774193548384,1.3845575656175608e-40,0.8064516129032258
23,-31.0483870967742,-49.596774193548384,5.068930859745369e-40,0.8064516129032258
24,-30.241935483870975,-49.596774193548384,1.7963093715545875e-39,0.8064516129032258
25,-29.43548387096775,-49.596774193548384,6.157545086822203e-39,0.8064516129032258
26,-28.629032258064523,-49.596774193548384,2.0406242938398185e-38,0.8064516129032258
27,-27.8225806451613,-49.596774193548384,6.535805219123546e-38,0.8064516129032258
28,-27.01612903225808,-49.596774193548384,2.022828418192214e-37,0.8064516129032258
29,-26.209677419354854,-49.596774193548384,6.05017788784654e-37,0.8064516129032258
30,-25.40322580645163,-49.596774193548384,1.7490585362933194e-36,0.8064516129032258
31,-24.5967741935484,-49.596774193548384,4.888240961195138e-36,0.8064516129032258
32,-23.79032258064518,-49.596774193548384,1.3208496393495415e-35,0.8064516129032258
33,-22.983870967741954,-49.596774193548384,3.4503457154069123e-35,0.8064516129032258
34,-22.17741935483873,-49.596774193548384,8.710478413382488e-35,0.8064516129032258
35,-21.370967741935512,-49.596774193548384,2.124177807330861e-34,0.8064516129032258
36,-20.56451612903228,-49.596774193548384,5.001660837350422e-34,0.8064516129032258
37,-19.75806451612906,-49.596774193548384,1.1368482688322474e-33,0.8064516129032258
38,-18.951612903225836,-49.596774193548384,2.4944991811564782e-33,0.8064516129032258
39,-18.14516129032261,-49.596774193548384,5.28577609279853e-33,0.8064516129032258
40,-17.338709677419388,-49.596774193548384,1.0820896259392415e-32,0.8064516129032258
41,-16.532258064516157,-49.596774193548384,2.1405459176260012e-32,0.8064516129032258
42,-15.72580645161294,-49.596774193548384,4.0902720624770614e-32,0.8064516129032258
43,-14.919354838709715,-49.596774193548384,7.543780764891799e-32,0.8064516129032258
44,-14.112903225806491,-49.596774193548384,1.3415657061090073e-31,0.8064516129032258
45,-13.30645161290326,-49.596774193548384,2.299197109132878e-31,0.8064516129032258
46,-12.500000000000036,-49.596774193548384,3.7986177045295256e-31,0.8064516129032258
47,-11.693548387096811,-49.596774193548384,6.058094023702818e-31,0.8064516129032258
48,-10.887096774193594,-49.596774193548384,9.344368364162347e-31,0.8064516129032258
49,-10.080645161290363,-49.596774193548384,1.396713738932987e-30,0.8064516129032258
50,-9.274193548387153,-49.596774193548384,2.0262460053419344e-30,0.8064516129032258
51,-8.467741935483907,-49.596774193548384,2.8573173206485606e-30,0.8064516129032258
52,-7.6612903225807045,-49.596774193548384,3.925129372289493e-30,0.8064516129032258
53,-6.854838709677466,-49.596774193548384,5.269750124151767e-30,0.8064516129032258
54,-6.048387096774256,-49.596774193548384,6.939098270295132e-30,0.8064516129032258
55,-5.241935483871025,-49.596774193548384,8.978907633875575e-30,0.8064516129032258
56,-4.435483870967801,-49.596774193548384,1.1399369070153302e-29,0.8064516129032258
57,-3.629032258064562,-49.596774193548384,1.4124845368341367e-29,0.8064516129032258
58,-2.822580645161345,-49.596774193548384,1.6954840367650662e-29,0.8064516129032258
59,-2.016129032258121,-49.596774193548384,1.957025064472835e-29,0.8064516129032258
60,-1.2096774193548967,-49.596774193548384,2.1597267125589923e-29,0.8064516129032258
61,-0.4032258064516725,-49.596774193548384,2.270657538195201e-29,0.8064516129032258
62,0.4032258064515375,-49.596774193548384,2.2706575381952105e-29,0.8064516129032258
63,1.209677419354783,-49.596774193548384,2.1597267125589864e-29,0.8064516129032258
64,2.016129032257993,-49.596774193548384,1.9570250644728388e-29,0.8064516129032258
65,2.822580645161217,-49.596774193548384,1.6954840367650727e-29,0.8064516129032258
66,3.6290322580644485,-49.596774193548384,1.4124845368341378e-29,0.8064516129032258
67,4.435483870967673,-49.596774193548384,1.139936907015332e-29,0.8064516129032258
68,5.24193548387089,-49.596774193548384,8.978907633875551e-30,0.8064516129032258
